,name,ratings,reviews
0,TCS,3.8,61.9k Reviews
1,Accenture,4.1,39.5k Reviews
2,Cognizant,3.9,36.1k Reviews
3,Wipro,3.8,29.7k Reviews
4,ICICI Bank,4.0,29.3k Reviews
5,HDFC Bank,3.9,28.7k Reviews
6,Infosys,3.9,27k Reviews
7,Capgemini,3.9,25.1k Reviews
8,Tech Mahindra,3.7,23.6k Reviews
9,Genpact,4.0,22.8k Reviews
10,HCLTech,3.7,22.7k Reviews
11,Axis Bank,3.8,19.4k Reviews
12,Concentrix Corporation,3.9,18.1k Reviews
13,IBM,4.1,17.5k Reviews
14,Amazon,4.2,17.5k Reviews
15,Reliance Jio,4.0,17.4k Reviews
16,Larsen & Toubro Limited,4.0,16.5k Reviews
17,HDB Financial Services,4.0,15.5k Reviews
18,Reliance Retail,3.9,15.2k Reviews
19,Teleperformance,3.6,14.6k Reviews
20,TCS,3.8,61.9k Reviews
21,Accenture,4.1,39.5k Reviews
22,Cognizant,3.9,36.1k Reviews
23,Wipro,3.8,29.7k Reviews
24,ICICI Bank,4.0,29.3k Reviews
25,HDFC Bank,3.9,28.7k Reviews
26,Infosys,3.9,27k Reviews
27,Capgemini,3.9,25.1k Reviews
28,Tech Mahindra,3.7,23.6k Reviews
29,Genpact,4.0,22.8k Reviews
30,HCLTech,3.7,22.7k Reviews
31,Axis Bank,3.8,19.4k Reviews
32,Concentrix Corporation,3.9,18.1k Reviews
33,IBM,4.1,17.5k Reviews
34,Amazon,4.2,17.5k Reviews
35,Reliance Jio,4.0,17.4k Reviews
36,Larsen & Toubro Limited,4.0,16.5k Reviews
37,HDB Financial Services,4.0,15.5k Reviews
38,Reliance Retail,3.9,15.2k Reviews
39,Teleperformance,3.6,14.6k Reviews
40,TCS,3.8,61.9k Reviews
41,Accenture,4.1,39.5k Reviews
42,Cognizant,3.9,36.1k Reviews
43,Wipro,3.8,29.7k Reviews
44,ICICI Bank,4.0,29.3k Reviews
45,HDFC Bank,3.9,28.7k Reviews
46,Infosys,3.9,27k Reviews
47,Capgemini,3.9,25.1k Reviews
48,Tech Mahindra,3.7,23.6k Reviews
49,Genpact,4.0,22.8k Reviews
50,HCLTech,3.7,22.7k Reviews
51,Axis Bank,3.8,19.4k Reviews
52,Concentrix Corporation,3.9,18.1k Reviews
53,IBM,4.1,17.5k Reviews
54,Amazon,4.2,17.5k Reviews
55,Reliance Jio,4.0,17.4k Reviews
56,Larsen & Toubro Limited,4.0,16.5k Reviews
57,HDB Financial Services,4.0,15.5k Reviews
58,Reliance Retail,3.9,15.2k Reviews
59,Teleperformance,3.6,14.6k Reviews
